Implementation,LUTs,FFs,Logic Levels,LL-1,LL+1,High Fanout,HF-1,HF+1,Cumulative Fanout,CF-1,CF+1,Routes,Routes-1,Routes+1,Requirement,Req-1,Req+1,Path Delay,PD-1,PD+1,Slack,Slack-1,Slack+1,Logic Delay,LD-1,LD+1,Net Delay,ND-1,ND+1
../syn/I016_O016_D002_CSN_VHDL-freq280retfan10000,945,500,9,0,0,3,1,1,22,1,1,9,1,1,3.572,3.572,0.000,3.177,0.417,0.365,0.284,3.053,inf,1.029(33%),0.098(24%),0.097(27%),2.148(67%),0.319(76%),0.268(73%)
../syn/I016_O016_D002_CSN_VHDL-freq320retfan10000,996,536,8,0,0,21,5,1,37,5,1,8,1,1,3.125,3.125,0.000,2.859,0.791,0.485,0.147,2.224,inf,1.006(36%),0.098(13%),0.096(20%),1.853(64%),0.693(87%),0.389(80%)
../syn/I016_O016_D002_CSN_VHDL_DATAFMT-freq280x400retfan10000,1190,1161,6,0,0,8,2,1,24,2,1,7,1,1,3.572,0.000,3.572,2.914,0.490,0.416,0.573,inf,3.137,0.862(30%),0.093(19%),0.099(24%),2.052(70%),0.397(81%),0.317(76%)
../syn/I016_O016_D002_IORET-freq160retfan10000,5789,1122,31,20,20,31,30,34,237,144,141,31,20,20,6.250,6.250,6.250,12.401,9.015,8.488,-6.200,-2.951,-2.354,3.975(33%),2.064(23%),2.089(25%),8.426(67%),6.951(77%),6.399(75%)
../syn/I016_O016_D002_IORET-freq160retfan16,6230,1179,30,19,0,16,17,1,208,142,1,30,20,1,6.250,6.250,6.250,12.565,8.142,0.606,-6.240,-2.305,5.278,3.226(26%),2.036(26%),0.096(16%),9.339(74%),6.106(74%),0.510(84%)
../syn/I016_O016_D002_IORET-freq320retfan10000,5573,1190,31,18,18,29,33,31,227,165,128,31,19,18,3.125,3.125,3.125,11.755,8.501,7.606,-8.400,-5.886,-5.114,3.412(30%),1.933(23%),1.922(26%),8.343(70%),6.568(77%),5.684(74%)
../syn/I016_O016_D002_IORET-freq320retfan16,6326,1160,32,18,19,16,16,18,226,121,115,32,19,19,3.125,3.125,3.125,13.576,8.502,8.694,-10.545,-5.573,-5.718,3.215(24%),1.790(22%),2.152(25%),10.361(76%),6.712(78%),6.542(75%)
../syn/I016_O016_D002_IORET-freq40retfan10000,4353,512,58,0,0,49,1,1,786,1,1,58,1,1,25.000,25.000,25.000,24.375,1.104,0.652,0.462,23.781,24.269,6.660(28%),0.096(9%),0.096(15%),17.715(72%),1.008(91%),0.556(85%)
../syn/I016_O016_D002_IORET-freq40retfan16,4910,512,59,0,0,32,1,1,386,1,1,59,1,1,25.000,25.000,25.000,22.783,0.675,0.662,2.084,24.213,24.256,6.451(29%),0.096(15%),0.097(15%),16.332(71%),0.579(85%),0.565(85%)
../syn/I016_O016_D002_IORET-freq80retfan10000,5412,1175,34,16,15,17,35,36,243,170,122,34,17,15,12.500,12.500,12.500,14.844,9.817,8.417,-2.413,2.443,3.807,4.063(28%),1.719(18%),1.771(22%),10.781(72%),8.098(82%),6.646(78%)
